_id,recommended,rating_valuemoney,rating_overall,rating_inflightEnt,rating_cabinstaff,rating_seatcomfort,rating_foodbeverage
ObjectId(58994af99bf56223b02ab85c),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab85e),1,5,10,4,5,5,5
ObjectId(58994af99bf56223b02ab860),0,2,3,3,5,1,5
ObjectId(58994af99bf56223b02ab862),0,1,2,3,2,2,2
ObjectId(58994af99bf56223b02ab864),0,3,1,1,1,3,2
ObjectId(58994af99bf56223b02ab866),1,4,7,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab867),0,1,1,1,1,3,1
ObjectId(58994af99bf56223b02ab869),1,4,8,0,4,4,3
ObjectId(58994af99bf56223b02ab86b),0,3,3,NaN,3,3,3
ObjectId(58994af99bf56223b02ab86d),0,3,4,0,2,1,2
ObjectId(58994af99bf56223b02ab871),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab873),0,2,3,2,1,1,3
ObjectId(58994af99bf56223b02ab875),1,4,7,3,2,3,5
ObjectId(58994af99bf56223b02ab877),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab879),0,1,NaN,1,1,1,1
ObjectId(58994af99bf56223b02ab87b),0,3,4,3,3,2,3
ObjectId(58994af99bf56223b02ab87d),0,1,1,3,1,2,2
ObjectId(58994af99bf56223b02ab880),1,5,8,5,4,4,3
ObjectId(58994af99bf56223b02ab882),0,3,6,2,5,1,5
ObjectId(58994af99bf56223b02ab88a),0,1,7,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab88b),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab88c),1,4,7,3,3,4,5
ObjectId(58994af99bf56223b02ab88e),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab890),1,4,7,1,5,4,4
ObjectId(58994af99bf56223b02ab894),0,2,2,1,2,1,2
ObjectId(58994af99bf56223b02ab896),0,3,4,1,3,3,4
ObjectId(58994af99bf56223b02ab898),0,NaN,4,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab89a),0,2,1,1,2,3,1
ObjectId(58994af99bf56223b02ab89c),1,4,9,1,4,4,4
ObjectId(58994af99bf56223b02ab89e),0,1,3,4,2,4,2
ObjectId(58994af99bf56223b02ab8a0),1,5,9,0,4,4,0
ObjectId(58994af99bf56223b02ab8a2),0,1,2,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab8a4),1,5,10,5,5,5,5
ObjectId(58994af99bf56223b02ab8a6),1,1,9,0,3,3,0
ObjectId(58994af99bf56223b02ab8a8),0,2,1,1,3,3,3
ObjectId(58994af99bf56223b02ab8b0),1,4,9,5,4,3,3
ObjectId(58994af99bf56223b02ab8b1),0,3,5,2,2,3,2
ObjectId(58994af99bf56223b02ab8b3),1,4,9,4,4,4,4
ObjectId(58994af99bf56223b02ab8b5),1,3,5,3,2,3,3
ObjectId(58994af99bf56223b02ab8b8),1,4,9,2,5,4,5
ObjectId(58994af99bf56223b02ab8ba),0,4,5,3,1,3,2
ObjectId(58994af99bf56223b02ab8bc),1,5,10,5,4,4,5
ObjectId(58994af99bf56223b02ab8be),1,0,9,0,0,0,0
ObjectId(58994af99bf56223b02ab8c0),1,5,10,3,5,5,5
ObjectId(58994af99bf56223b02ab8c2),0,2,2,2,3,2,3
ObjectId(58994af99bf56223b02ab8c4),0,NaN,3,NaN,NaN,NaN,NaN
